Country_name,SAUP,ISO3,Region
Australia,36,AUS,AustraliaNZ
Christmas_Island_(Australia),162,CXR,AustraliaNZ
New_Zealand,554,NZL,AustraliaNZ
Norfolk_Island,574,NFK,AustraliaNZ
Antigua_and_Barbuda,28,ATG,Caribbean
Bahamas,44,BHS,Caribbean
Barbados,52,BRB,Caribbean
British_Virgin_Islands,92,VGB,Caribbean
Cayman_Islands,136,CYM,Caribbean
Cuba,192,CUB,Caribbean
Dominica,212,DMA,Caribbean
Dominican_Republic,214,DOM,Caribbean
Grenada,308,GRD,Caribbean
Guadeloupe,312,GLP,Caribbean
Haiti,332,HTI,Caribbean
Jamaica,388,JAM,Caribbean
Martinique,474,MTQ,Caribbean
Montserrat,500,MSR,Caribbean
Netherlands_Antilles,532,ANT,Caribbean
Aruba,533,ABW,Caribbean
Curacao,534,CUW,Caribbean
Puerto_Rico,630,PRI,Caribbean
Saint_Kitts_and_Nevis,659,KNA,Caribbean
Anguilla,660,AIA,Caribbean
Saint_Lucia,662,LCA,Caribbean
Saint_Vincent_and_the_Grenadines,670,VCT,Caribbean
Trinidad_and_Tobago,780,TTO,Caribbean
Turks_and_Caicos_Is,796,TCA,Caribbean
US_Virgin_Islands,850,VIR,Caribbean
St_Martin,904,MAF,Caribbean
St_Barthelemy,905,BLM,Caribbean
Belize,84,BLZ,LatinAmerica
Costa_Rica,188,CRI,LatinAmerica
El_Salvador,222,SLV,LatinAmerica
Guatemala,320,GTM,LatinAmerica
Honduras,340,HND,LatinAmerica
Nicaragua,558,NIC,LatinAmerica
Panama,591,PAN,LatinAmerica
China,156,CHN,NorthEastAsia
Taiwan,157,TWN,NorthEastAsia
Hong_Kong,344,HKG,NorthEastAsia
Macau,446,MAC,NorthEastAsia
Albania,8,ALB,Europe
Belgium,56,BEL,Europe
Bosnia_and_Herzegovina,70,BIH,Europe
Bulgaria,100,BGR,Europe
Croatia,191,HRV,Europe
Cyprus,196,CYP,Europe
Denmark,208,DNK,Europe
Estonia,233,EST,Europe
Faroe_Islands,234,FRO,Europe
Finland,246,FIN,Europe
France,250,FRA,Europe
Georgia,268,GEO,Europe
Germany,276,DEU,Europe
Gibraltar,292,GIB,Europe
Greece,300,GRC,Europe
Greenland,304,GRL,Europe
Iceland,352,ISL,Europe
Ireland,372,IRL,Europe
Italy,380,ITA,Europe
Latvia,428,LVA,Europe
Lithuania,440,LTU,Europe
Malta,470,MLT,Europe
Monaco,492,MCO,Europe
Netherlands,528,NLD,Europe
Norway,578,NOR,Europe
Poland,616,POL,Europe
Portugal,620,PRT,Europe
Madeira,621,RAM,Europe
Acores,622,RAA,Europe
Romania,642,ROU,Europe
Russian_Federation,643,RUS,Europe
Slovenia,705,SVN,Europe
Spain,724,ESP,Europe
Svalbard_and_Jan_Mayen,744,SJM,Europe
Sweden,752,SWE,Europe
Ukraine,804,UKR,Europe
USSR,810,SUN,Europe
United_Kingdom,826,GBR,Europe
Channel_Islands,830,,Europe
Isle_of_Man,833,IMN,Europe
Yugoslavia_SFR,890,YUG,Europe
Montenegro,892,MNE,Europe
EEC,900,,Europe
Bangladesh,50,BGD,IndianP
British_Indian_Ocean_Ter,86,IOT,IndianP
India,356,IND,IndianP
Pakistan,586,PAK,IndianP
American_Samoa,16,ASM,IslandsNations
Bermuda,60,BMU,IslandsNations
Solomon_Islands,90,SLB,IslandsNations
Cook_Islands,184,COK,IslandsNations
Fiji,242,FJI,IslandsNations
French_Polynesia,258,PYF,IslandsNations
Kiribati,296,KIR,IslandsNations
Guam,316,GUM,IslandsNations
Maldives,462,MDV,IslandsNations
Nauru,520,NRU,IslandsNations
New_Caledonia,540,NCL,IslandsNations
Vanuatu,548,VUT,IslandsNations
Niue,570,NIU,IslandsNations
Northern_Mariana_Islands,580,MNP,IslandsNations
Micronesia,583,FSM,IslandsNations
Marshall_Islands,584,MHL,IslandsNations
Palau,585,PLW,IslandsNations
Papua_New_Guinea,598,PNG,IslandsNations
Pitcairn_Islands,612,PCN,IslandsNations
Saint_Helena,654,SHN,IslandsNations
Sao_Tome_and_Principe,678,STP,IslandsNations
Seychelles,690,SYC,IslandsNations
Tokelau,772,TKL,IslandsNations
Tonga,776,TON,IslandsNations
Tuvalu,798,TUV,IslandsNations
Wallis_and_Futuna_Is,876,WLF,IslandsNations
Samoa,882,WSM,IslandsNations
Japan,392,JPN,NorthEastAsia
North_Korea,408,PRK,NorthEastAsia
South_Korea,410,KOR,NorthEastAsia
Afghanistan,4,AFG,Landlocked
Andorra,20,AND,Landlocked
Azerbaijan,31,AZE,Landlocked
Austria,40,AUT,Landlocked
Armenia,51,ARM,Landlocked
Bhutan,64,BTN,Landlocked
Bolivia,68,BOL,Landlocked
Botswana,72,BWA,Landlocked
Burundi,108,BDI,Landlocked
Belarus,112,BLR,Landlocked
Central_African_Republic,140,CAF,Landlocked
Chad,148,TCD,Landlocked
Czechoslovakia,200,CSK,Landlocked
Czech_Republic,203,CZE,Landlocked
Ethiopia,230,ETH,Landlocked
Hungary,348,HUN,Landlocked
Kazakhstan,398,KAZ,Landlocked
Kyrgyzstan,417,KGZ,Landlocked
Laos,418,LAO,Landlocked
Lesotho,426,LSO,Landlocked
Liechtenstein,438,LIE,Landlocked
Luxembourg,442,LUX,Landlocked
Malawi,454,MWI,Landlocked
Mali,466,MLI,Landlocked
Mongolia,496,MNG,Landlocked
Moldova,498,MDA,Landlocked
Nepal,524,NPL,Landlocked
Niger,562,NER,Landlocked
Paraguay,600,PRY,Landlocked
Rwanda,646,RWA,Landlocked
San_Marino,674,SMR,Landlocked
Slovakia,703,SVK,Landlocked
Swaziland,748,SWZ,Landlocked
Switzerland,756,CHE,Landlocked
Tajikistan,762,TJK,Landlocked
Turkmenistan,795,TKM,Landlocked
Uganda,800,UGA,Landlocked
Macedonia,807,MKD,Landlocked
Burkina_Faso,854,BFA,Landlocked
Uzbekistan,860,UZB,Landlocked
Serbia,891,SRB,Landlocked
Zambia,894,ZMB,Landlocked
Algeria,12,DZA,MidEast
Libya,434,LBY,MidEast
Mauritania,478,MRT,MidEast
Morocco,504,MAR,MidEast
Tunisia,788,TUN,MidEast
Bahrain,48,BHR,MidEast
Palestine,274,PSE,MidEast
Iran,364,IRN,MidEast
Iraq,368,IRQ,MidEast
Israel,376,ISR,MidEast
Jordan,400,JOR,MidEast
Kuwait,414,KWT,MidEast
Lebanon,422,LBN,MidEast
Oman,512,OMN,MidEast
Qatar,634,QAT,MidEast
Saudi_Arabia,682,SAU,MidEast
Western_Sahara,732,ESH,MidEast
Syria,760,SYR,MidEast
United_Arab_Emirates,784,ARE,MidEast
Turkey,792,TUR,MidEast
Egypt,818,EGY,MidEast
Yemen,887,YEM,MidEast
Canada,124,CAN,NorthAmerica
Mexico,484,MEX,NorthAmerica
St_Pierre_and_Miquelon,666,SPM,NorthAmerica
USA,840,USA,NorthAmerica
Cape_Verde,132,CPV,NWAfrica
Gambia,270,GMB,NWAfrica
Guinea,324,GIN,NWAfrica
Guinea_Bissau,624,GNB,NWAfrica
Senegal,686,SEN,NWAfrica
Sierra_Leone,694,SLE,NWAfrica
Argentina,32,ARG,LatinAmerica
Brazil,76,BRA,LatinAmerica
Chile,152,CHL,LatinAmerica
Columbia,170,COL,LatinAmerica
Ecuador,218,ECU,LatinAmerica
Falkland_Islands,238,FLK,LatinAmerica
French_Guiana,254,GUF,LatinAmerica
Guyana,328,GUY,LatinAmerica
Peru,604,PER,LatinAmerica
Suriname,740,SUR,LatinAmerica
Uruguay,858,URY,LatinAmerica
Venezuela,862,VEN,LatinAmerica
Brunei_Darussalam,96,BRN,SouthEastAsia
Myanmar,104,MMR,SouthEastAsia
Cambodia,116,KHM,SouthEastAsia
Sri_Lanka,144,LKA,SouthEastAsia
Indonesia,360,IDN,SouthEastAsia
Malaysia,458,MYS,SouthEastAsia
Philippines,608,PHL,SouthEastAsia
Timor_Leste,626,TLS,SouthEastAsia
Singapore,702,SGP,SouthEastAsia
Viet_Nam,704,VNM,SouthEastAsia
Thailand,764,THA,SouthEastAsia
Angola,24,AGO,SubAfrica
Eritrea,111,ERI,SubAfrica
Cameroon,120,CMR,SubAfrica
Comoros,174,COM,SubAfrica
Mayotte,175,MYT,SubAfrica
Congo,178,COG,SubAfrica
Dem_Rep_of_Congo,180,COD,SubAfrica
Benin,204,BEN,SubAfrica
Equatorial_Guinea,226,GNQ,SubAfrica
Djibouti,262,DJI,SubAfrica
Gabon,266,GAB,SubAfrica
Ghana,288,GHA,SubAfrica
Cote_d_Ivoire,384,CIV,SubAfrica
Kenya,404,KEN,SubAfrica
Liberia,430,LBR,SubAfrica
Madagascar,450,MDG,SubAfrica
Mauritius,480,MUS,SubAfrica
Mozambique,508,MOZ,SubAfrica
Namibia,516,NAM,SubAfrica
Nigeria,566,NGA,SubAfrica
Reunion,638,REU,SubAfrica
Somalia,706,SOM,SubAfrica
South_Africa,710,ZAF,SubAfrica
Zimbabwe,716,ZWE,SubAfrica
Sudan,736,SDN,SubAfrica
Togo,768,TGO,SubAfrica
Tanzania,834,TZA,SubAfrica
Unknown_Fishing_Country,999,,
